Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
CHCI,Comstock Holding Co. Inc,Real Estate,Real Estate Services,USA,97960000.0,6.41,9.73,0.0062,1889.0
CHEB,Chenghe Acquisition II Co,Financial,Shell Companies,Singapore,80600000.0,,8.6,0.0935,52290.0
CHGG,Chegg Inc,Consumer Defensive,Education & Training Services,USA,127350000.0,,1.2,-0.0042,1622061.0
CHMI,Cherry Hill Mortgage Investment Corporation,Real Estate,REIT - Mortgage,USA,98710000.0,,2.97,0.006,83580.0
CHN,China Fund Inc,Financial,Closed-End Fund - Foreign,USA,122110000.0,4.55,12.55,0.0143,4281.0
CHPGU,ChampionsGate Acquisition Corp,Financial,Shell Companies,USA,87300000.0,,10.03,0.0005,81296.0
CHRS,Coherus Oncology Inc,Healthcare,Biotechnology,USA,88330000.0,,0.76,-0.0053,688167.0
CIA,"Citizens, Inc",Financial,Insurance - Life,USA,179290000.0,20.66,3.58,-0.0042,42176.0
CIGL,Concorde International Group Ltd,Industrials,Security & Protection Services,Singapore,133639999.99999999,,5.97,-0.018500000000000003,8771.0
CIK,Credit Suisse Asset Management Income Fund Inc,Financial,Closed-End Fund - Debt,USA,156760000.0,10.21,2.86,-0.0034999999999999996,483633.0
CIO,City Office REIT Inc,Real Estate,REIT - Office,Canada,201790000.0,,5.0,0.0101,53897.0
CJET,Chijet Motor Company Inc,Consumer Cyclical,Auto Manufacturers,Cayman Islands,50970000.0,,1.65,0.004699999999999999,468.0
CLAR,Clarus Corp,Consumer Cyclical,Leisure,USA,127490000.0,,3.32,0.057300000000000004,48079.0
CLLS,Cellectis ADR,Healthcare,Biotechnology,France,107410000.0,,1.49,0.0,8760.0
CLPR,Clipper Realty Inc,Real Estate,REIT - Residential,USA,63300000.0,,3.92,-0.0667,24006.0
CLSD,Clearside Biomedical Inc,Healthcare,Biotechnology,USA,58360000.0,,0.75,0.015,79336.0
CLST,Catalyst Bancorp Inc,Financial,Banks - Regional,USA,50380000.0,21.88,12.05,0.0169,16.0
CLYM,Climb Bio Inc,Healthcare,Biotechnology,USA,86160000.0,,1.27,0.0805,55271.0
CMDB,Costamare Bulkers Holdings Ltd,Industrials,Marine Shipping,Monaco,221220000.0,,9.14,-0.0087,51209.0
CMT,Core Molding Technologies,Basic Materials,Specialty Chemicals,USA,145220000.0,12.1,16.15,-0.0019,12959.0
CMTL,Comtech Telecommunications Corp,Technology,Communication Equipment,USA,62810000.0,,2.14,-0.004699999999999999,32638.0
CMU,MFS High Yield Municipal Trust,Financial,Closed-End Fund - Debt,USA,84890000.0,6.8,3.33,-0.006,17441.0
CNTX,Context Therapeutics Inc,Healthcare,Biotechnology,USA,50210000.0,,0.56,-0.0481,155906.0
CNTY,Century Casinos Inc,Consumer Cyclical,Resorts & Casinos,USA,61370000.0,,2.0,0.0,6779.0
CNVS,Cineverse Corp,Communication Services,Entertainment,USA,60080000.0,,3.76,-0.0105,29239.0
CODA,Coda Octopus Group Inc,Industrials,Aerospace & Defense,USA,84020000.0,21.51,7.48,0.0166,2992.0
COHN,Cohen & Company Inc,Financial,Capital Markets,USA,218060000.0,,8.06,0.0025,542.0
COLA,Columbus Acquisition Corp,Financial,Shell Companies,Singapore,80040000.0,,10.08,0.0,0.0
COOK,Traeger Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,181150000.0,,1.34,0.0038,172741.0
COYA,Coya Therapeutics Inc,Healthcare,Biotechnology,USA,93690000.0,,5.6,0.009000000000000001,5544.0
CPBI,Central Plains Bancshares Inc,Financial,Banks - Regional,USA,61820000.0,6.54,14.58,0.0021,29.0
CPHC,Canterbury Park Holding Corp,Consumer Cyclical,Resorts & Casinos,USA,88230000.0,109.21,17.78,-0.0177,765.0
CPIX,Cumberland Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,82590000.0,,5.52,-0.0333,5093.0
CPSS,"Consumer Portfolio Service, Inc",Financial,Credit Services,USA,199650000.0,11.63,9.26,0.0054,350.0
CRAQU,Cal Redwood Acquisition Corp,Financial,Shell Companies,USA,237900000.0,,10.06,0.0005,50395.0
CRBP,Corbus Pharmaceuticals Holdings Inc,Healthcare,Biotechnology,USA,97650000.0,,7.98,0.0872,80051.0
CRBU,Caribou Biosciences Inc,Healthcare,Biotechnology,USA,99980000.0,,1.08,0.1027,595369.0
CRDF,Cardiff Oncology Inc,Healthcare,Biotechnology,USA,234250000.0,,3.52,0.051100000000000007,359426.0
CRDL,Cardiol Therapeutics Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,104140000.0,,1.26,0.0161,105215.0
CRGO,Freightos Ltd,Industrials,Integrated Freight & Logistics,Israel,118600000.0,,2.37,0.0128,35394.0
CRGX,CARGO Therapeutics Inc,Healthcare,Biotechnology,USA,205900000.0,,4.47,0.0432,459183.0
CRML,Critical Metals Corp,Basic Materials,Other Industrial Metals & Mining,United Kingdom,138050000.0,,1.4,-0.0141,701286.0
CRNT,Ceragon Networks Ltd,Technology,Communication Equipment,Israel,212320000.0,9.32,2.39,0.021400000000000002,268454.0
